Driver,DriverNumber,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife,Stint,FreshTyre,Position,IsAccurate,TrackStatus,IsPersonalBest
PER,11,28.0,0 days 00:01:17.987000,0 days 00:00:22.371000,0 days 00:00:24.872000,0 days 00:00:30.744000,229.0,271.0,272.0,294.0,MEDIUM,13.0,3.0,True,17.0,True,1,False
PER,11,29.0,0 days 00:01:52.109000,0 days 00:00:22.133000,0 days 00:00:32.683000,0 days 00:00:57.293000,231.0,160.0,,221.0,MEDIUM,14.0,3.0,True,17.0,False,126,False
PER,11,30.0,0 days 00:01:48.011000,0 days 00:00:28.915000,0 days 00:00:39.286000,0 days 00:00:39.810000,216.0,112.0,242.0,219.0,SOFT,1.0,4.0,True,16.0,False,67,False
PER,11,31.0,0 days 00:01:23.416000,0 days 00:00:24.472000,0 days 00:00:27.064000,0 days 00:00:31.880000,233.0,261.0,281.0,309.0,SOFT,2.0,4.0,True,16.0,False,71,False
PER,11,32.0,0 days 00:01:19.248000,0 days 00:00:23.131000,0 days 00:00:25.328000,0 days 00:00:30.789000,236.0,283.0,286.0,326.0,SOFT,3.0,4.0,True,16.0,True,1,False
PER,11,33.0,0 days 00:01:21.253000,0 days 00:00:22.569000,0 days 00:00:25.365000,0 days 00:00:33.319000,232.0,245.0,280.0,211.0,SOFT,4.0,4.0,True,16.0,True,1,False
PER,11,34.0,0 days 00:01:18.112000,0 days 00:00:22.600000,0 days 00:00:24.880000,0 days 00:00:30.632000,232.0,276.0,281.0,310.0,SOFT,5.0,4.0,True,16.0,True,1,False
PER,11,35.0,0 days 00:01:17.120000,0 days 00:00:22.193000,0 days 00:00:24.605000,0 days 00:00:30.322000,233.0,280.0,288.0,323.0,SOFT,6.0,4.0,True,16.0,True,1,True
PER,11,36.0,0 days 00:01:17.398000,0 days 00:00:22.208000,0 days 00:00:24.571000,0 days 00:00:30.619000,231.0,290.0,275.0,305.0,SOFT,7.0,4.0,True,16.0,True,1,False
PER,11,37.0,0 days 00:01:16.915000,0 days 00:00:22.178000,0 days 00:00:24.503000,0 days 00:00:30.234000,233.0,280.0,281.0,313.0,SOFT,8.0,4.0,True,16.0,True,1,True
PER,11,38.0,0 days 00:01:17.423000,0 days 00:00:22.336000,0 days 00:00:24.636000,0 days 00:00:30.451000,234.0,280.0,272.0,340.0,SOFT,9.0,4.0,True,15.0,True,12,False
PER,11,39.0,0 days 00:01:20.864000,0 days 00:00:22.461000,0 days 00:00:26.809000,0 days 00:00:31.594000,231.0,273.0,274.0,302.0,SOFT,10.0,4.0,True,15.0,True,1,False
PER,11,40.0,,0 days 00:00:22.469000,0 days 00:00:24.759000,,233.0,279.0,,289.0,SOFT,11.0,4.0,True,14.0,False,1,False
ANT,12,1.0,0 days 00:01:27.340000,,0 days 00:00:26.222000,0 days 00:00:31.942000,236.0,283.0,276.0,310.0,SOFT,5.0,1.0,False,2.0,False,1,False
ANT,12,2.0,0 days 00:01:21.447000,0 days 00:00:23.454000,0 days 00:00:25.600000,0 days 00:00:32.393000,242.0,282.0,265.0,300.0,SOFT,6.0,1.0,False,1.0,True,1,True
ANT,12,3.0,0 days 00:01:18.974000,0 days 00:00:22.886000,0 days 00:00:24.922000,0 days 00:00:31.166000,232.0,275.0,275.0,300.0,SOFT,7.0,1.0,False,1.0,True,1,True
ANT,12,4.0,0 days 00:01:17.974000,0 days 00:00:22.389000,0 days 00:00:24.665000,0 days 00:00:30.920000,234.0,274.0,273.0,299.0,SOFT,8.0,1.0,False,1.0,True,1,True
ANT,12,5.0,0 days 00:01:17.058000,0 days 00:00:22.001000,0 days 00:00:24.485000,0 days 00:00:30.572000,235.0,274.0,275.0,299.0,SOFT,9.0,1.0,False,1.0,True,1,True
ANT,12,6.0,0 days 00:01:17.710000,0 days 00:00:21.991000,0 days 00:00:24.326000,0 days 00:00:31.393000,235.0,274.0,277.0,299.0,SOFT,10.0,1.0,False,2.0,True,1,False
ANT,12,7.0,0 days 00:01:16.873000,0 days 00:00:22.330000,0 days 00:00:24.415000,0 days 00:00:30.128000,235.0,278.0,276.0,313.0,SOFT,11.0,1.0,False,2.0,True,1,True
ANT,12,8.0,0 days 00:01:16.047000,0 days 00:00:21.720000,0 days 00:00:24.125000,0 days 00:00:30.202000,237.0,279.0,272.0,310.0,SOFT,12.0,1.0,False,2.0,True,1,True
ANT,12,9.0,0 days 00:01:15.848000,0 days 00:00:21.781000,0 days 00:00:24.074000,0 days 00:00:29.993000,237.0,283.0,282.0,317.0,SOFT,13.0,1.0,False,2.0,True,1,True
ANT,12,10.0,0 days 00:01:15.740000,0 days 00:00:21.638000,0 days 00:00:24.005000,0 days 00:00:30.097000,238.0,281.0,279.0,310.0,SOFT,14.0,1.0,False,2.0,True,1,True
